activity;['стака атлектика'];Спортонь вид (ансяк стакань кепедстима)
agentive-physical-object;['ломань', 'homo sapiens'];Гоминидэнь семиястонть вид, кона эри неень шкасто
biological-object;['эзне', 'полда', 'эзнэ'];тов-тев якиця, рунгосо ловажань вейсэндямо
ecological-collective;['вирь', 'вирть-укшторот'];Мода ланго, кона ве таркасо вельтязь чувтонь кстыйсэ
functional-matter;['эй'];Кельмезь калгодо ведь
functional-matter;['эмеж', 'эмэжт'];Касовкс, конань ярсыть. Вадрясто моли пидемсте.
functional-matter;['саразонь ал'];салт саразонь эйстэ
functional-matter;['эй'];Кельмезь калгодо ведь
language;['суоми-угрань кельть', 'паасонень хейкки'];Малавикс келень группась, кона пурнави ды теи тарад уралонь келень семиясонть, конатантень мерить суоми-угрань раськеть.
language;['карелэнь кель'];Суоминь-угрань кель, балтёнкс-суоминь группаньалксто
locative-role;['донецкой ош', 'донецк ош'];Ош Украинасо
locative-role;['мешхед', 'машхад'];Иран Мастронь ош
physical-body;['мода'];Колмоце Чистэнть чарыця теште Чинь системасонть
political-geographic-object;['норвегия мастор', 'noreg', 'norge', 'норвегия'];Мастор Пелевеёнкс Европасо
political-geographic-object;['англия мастор'];Инебритатонь Вейсэнь Инязормасторонь ды Пелевеёнкс Ирландиянь пелькс
political-geographic-object;['донецкой ош', 'донецк ош'];Ош Украинасо
political-geographic-object;['израиль мастор', 'израиль'];Мастор, кона ашти Куншкань Чилисемасо
political-geographic-object;['шотландия мастор'];Инебритатонь Вейсэнь Инязормасторонь ды Пелевеёнкс Ирландиянь пелькс
political-geographic-object;['сантьяго ош'];Чили Масторонь прявтош
political-geographic-object;['мешхед', 'машхад'];Иран Мастронь ош
region;['чилинь песо'];Чилинь ярмакт
socially-constructed-person;['моронь сёрмадый', 'мородей', 'морозей'];ломань, кона сёрмады валт моротнень туртов
socially-constructed-person;['лециця'];ломань кона канды шумбрачи
socially-constructed-person;['цёраломань'];ломанесь кона атяка (саеви тевс Р21)
socially-constructed-person;['эрзят', 'эрзя'];Суоми-угрань раське
socially-constructed-person;['вийкирдий-ветий'];Ломань, кона важоди, вети тевть вийкирдимасо
socially-constructed-person;['моронь валмородей', 'моронь малморозей'];Валмородей, кона сёрмады текстт моротнень туртов
socially-constructed-person;['тонавтыця', 'превс путыця', 'превспутый', 'тонавтый'];Ломань, кона тонавты лиятнень
socially-constructed-person;['тонадей'];ломанесь, кона тонады ды искуви кодамояк шкинемань ёнкс.
socially-constructed-person;['седийсёрмадей'];Седямонь сёрмадыця
socially-constructed-person;['фотокувтеий', 'фотокувонь теиця', 'фотонь теиця', 'фотоньтеий'];Ломанесь, кона теи фотокувт, те сонзэ важодемазо
socially-constructed-person;['сёрмадей', 'сёрмадыця'];Ломань, кона сёрмады, ды сонзэ валоньёрокчизэ вечкеви весинэнь
subject;['кельсодамо'];тона, кона кельде тонавты
temporal-region;['медьковонь 1 чи'];Чы-ков
temporal-region;['якшамковонь 1 чи'];Чы-ков
temporal-region;['даволковонь 2 чи'];Чы-ков
temporal-region;['сундерьковонь 1 чи'];Чы-ков
temporal-region;['ацамковонь 25 чи'];Чы-ков
temporal-region;['эйзюрковонь 19 чи'];Чы-ков
temporal-region;['чадыковонь 14 чи'];Чы-ков
temporal-region;['ожоковонь 24 чи'];Чы-ков
temporal-region;['ожоковонь 12 чи'];Чы-ков
temporal-region;['медьковонь 4 чи'];Чы-ков
temporal-region;['панжиковонь 24 чи'];Чы-ков
temporal-region;['таштамковонь 17 чи'];Чы-ков
temporal-region;['умарьковонь 1 чи'];Чы-ков
temporal-region;['аштемковонь 14 чи'];Чы-ков
temporal-region;['аштемковонь 29 чи'];Чы-ков
temporal-region;['таштамковонь 29 чи'];Чы-ков
temporal-region;['аштемковонь 21 чи'];Чы-ков
temporal-region;['панжиковонь 1 чи'];Чы-ков
temporal-region;['эйзюрковонь 2 чи'];Чы-ков
temporal-region;['аштемковонь 23 чи'];Чы-ков
temporal-region;['якшамковонь 6 чи'];Чы-ков
