activity;['taksonomiija'];Hierárkkalaš vuogádat
amount-of-matter;['šampánnja'];fránskalaš bulljarasviidni Champagne eanangottis
functional-matter;['šampánnja'];fránskalaš bulljarasviidni Champagne eanangottis
geographical-object;['lulli-amerihkká', 'mátta-amerihkká'];eatnanoassi
geographical-object;['ođđa-kaledonia'];Wikimedia-kategoriija
geographical-object;['martinique'];Frankriikka departemeantta
language;['fearagiella'];Davvegermánalaš giella
language;['dárogiella', 'dárru', 'dárọgiella'];Davvegermánalaš giella
language;['dánskkagiella', 'da', 'dan'];davvegermánalaš giella
language;['islánddagiella'];davvegermánalaš giella
language;['ruoŧagiella', 'ruoŧŧa', 'svenska'];Davvegermánalaš giella
language;['greikkagiella', 'greikkalaš gielat'];Greikkalaš giella mii gullá indoeurohpálaš gielaide
locative-role;['monaco', 'monaco prinsipáhta'];Riika Eurohpás
locative-role;['mayenne'];Frankriikka departemeantta
locative-role;['serbia', 'serbia dásseváldi', 'serbia ja montenegro', 'србија'];Riika Eurohpás
locative-role;['lietuva'];riika Eurohpás
locative-role;['light'];goargu
locative-role;['martinique'];Frankriikka departemeantta
locative-role;['subtrohpalaš dálkkádatguovlu'];dálkkádatguovlu
locative-role;['trohpalaš dálkkádatguovlu'];dálkkádatguovlu
physical-object;['synagoga'];juvddálaččaid rohkosbáiki
physical-object;['synagoga'];juvddálaččaid rohkosbáiki
political-geographic-object;['románia', 'romania'];Riika Eurohpás
political-geographic-object;['norga', 'norgga', 'norgga gonagasriika', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge'];Gonagasriika Davvi-Eurohpás
political-geographic-object;['vuolleeatnamat', 'hollánda'];Riika Eurohpás
political-geographic-object;['monaco', 'monaco prinsipáhta'];Riika Eurohpás
political-geographic-object;['šveica', 'ch', 'sveica'];Riika Eurohpás
political-geographic-object;['luxemburg', 'luxembourg'];Riika Eurohpás
political-geographic-object;['ovttastuvvan gonagasriika', 'stuorra-británnia', 'stuorrabritánnia ja davvi-irlánda', 'stuorra-britannia', 'stuorra-brittánia', 'stuorra-británnia ja davvi-irlánda', 'stuorra britannia', 'stuorra británnia', 'stuorrabritánnia'];Riika Eurohpás
political-geographic-object;['spánia', 'espánjja', 'espánja', 'espánnja', 'spánja'];Riika Eurohpás
political-geographic-object;['vilges-ruošša'];Riika Eurohpás
political-geographic-object;['belgia', 'belgia gonagasriika'];Riika Eurohpás
political-geographic-object;['georgia'];Riika Eurohpás
political-geographic-object;['ungára', 'ungár', 'uŋgár', 'uŋgára'];Riika Eurohpás
political-geographic-object;['polska', 'polen'];Riika Eurohpás
political-geographic-object;['duiska', 'duiskka'];riika Eurohpás
political-geographic-object;['itália', 'italia'];Riika Eurohpás
political-geographic-object;['greika', 'greikka dásseváldi', 'hellas'];Riika Eurohpás
political-geographic-object;['ukraina', 'ukráina'];Riika Eurohpás
political-geographic-object;['frankriika', 'franska', 'fráŋkriika', 'ránska'];riika Eurohpás
political-geographic-object;['irlándda dásseváldi', 'irlánda', 'eire'];Riika Eurohpás
political-geographic-object;['ruoŧŧa', 'ruoŧa gonagasriika', 'sverige'];Gonagasriika Davvi-Eurohpás
political-geographic-object;['liechtenstein'];Riika Eurohpás
political-geographic-object;['andorra', 'andorrá'];riika Eurohpás
political-geographic-object;['vatikána', 'bassi stuollu'];Riika Eurohpás
political-geographic-object;['islánda', 'islándda dásseváldi'];Riika Eurohpás
political-geographic-object;['suopma', 'suoma dásseváldi', 'suomi'];dásseváldi Davvi-Eurohpás
political-geographic-object;['luanda'];Angola oaivegávpot
socially-constructed-person;['neurologa'];spesiáladoavttir
socially-constructed-person;['suoma riikkabeaiáirras', 'riikkabeaiáirras'];riikkabeaiáirras Suomas
socially-constructed-person;['varis'];Earáide go olbmuide
socially-constructed-person;['diktačálli', 'diktár', 'poehta'];olmmoš, gii čállá divttaid
socially-constructed-person;['thomas robert malthus'];brihttálaš servodatekonoma
taxonomic-collection;['vokatiiva'];Sadjehápmi nappo kásus
taxonomic-collective;['charales'];Wikimedia-kategoriija
temporal-region;['ođđajagimánu 1.', 'ođđajagimánu 1. b.', 'ođđajagimánu 1. beaivve', 'ođđajagimánu 1. beaivvi'];Beaivemearri
